,0,1,2,3,4,5,6,7
52,52,최종병기 활,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83084,https://ssl.pstatic.net/imgmovie/mdi/mit110/0830/83084_P35_175118.jpg,2011,['김한민'],"['박해일', '류승룡', '김무열', '문채원']",7.87
53,53,트랜스포머,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61521,https://ssl.pstatic.net/imgmovie/mdi/mit110/0615/61521_P00_184120.jpg,2007,['마이클 베이'],"['샤이아 라보프', '타이레스 깁슨', '조쉬 더하멜', '안소니 앤더슨', '메간 폭스', '레이첼 테일러']",8.85
54,54,써니,https://movie.naver.com/movie/bi/mi/basic.nhn?code=76016,https://ssl.pstatic.net/imgmovie/mdi/mit110/0760/76016_P11_175820.jpg,2011,['강형철'],"['유호정', '심은경', '강소라', '고수희', '김민영', '홍진희', '박진주', '이연경', '남보라', '김보미', '민효린']",9.12
55,55,화려한 휴가,https://movie.naver.com/movie/bi/mi/basic.nhn?code=58018,https://ssl.pstatic.net/imgmovie/mdi/mit110/0580/58018_P01_105229.jpg,2007,['김지훈'],"['김상경', '안성기', '이요원', '이준기']",7.54
56,56,한산: 용의 출현,https://movie.naver.com/movie/bi/mi/basic.nhn?code=194196,https://ssl.pstatic.net/imgmovie/mdi/mit110/1941/194196_P130_180925.jpg,2021,['김한민'],"['박해일', '변요한', '안성기', '손현주', '김성규', '김성균', '김향기', '택연', '공명', '박지환', '조재윤']",8.74
57,57,스파이더맨: 홈커밍,https://movie.naver.com/movie/bi/mi/basic.nhn?code=135874,https://ssl.pstatic.net/imgmovie/mdi/mit110/1358/135874_P11_162921.jpg,2017,['존 왓츠'],"['톰 홀랜드', '마이클 키튼']",8.35
58,58,1987,https://movie.naver.com/movie/bi/mi/basic.nhn?code=158191,https://ssl.pstatic.net/imgmovie/mdi/mit110/1581/158191_P60_173938.jpg,2017,['장준환'],"['김윤석', '하정우', '유해진', '김태리', '박희순', '이희준']",9.23
59,59,베를린,https://movie.naver.com/movie/bi/mi/basic.nhn?code=89218,https://ssl.pstatic.net/imgmovie/mdi/mit110/0892/89218_P38_102226.jpg,2012,['류승완'],"['하정우', '한석규', '류승범', '전지현', '이경영']",7.84
60,60,마스터,https://movie.naver.com/movie/bi/mi/basic.nhn?code=145162,https://ssl.pstatic.net/imgmovie/mdi/mit110/1451/145162_P45_131834.jpg,2016,['조의석'],"['이병헌', '강동원', '김우빈', '엄지원', '오달수', '진경']",8.11
61,61,터널,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141104,https://ssl.pstatic.net/imgmovie/mdi/mit110/1411/141104_P59_134853.jpg,2016,['김성훈'],"['하정우', '배두나', '오달수']",8.37
