영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
리딕 - 헬리온 최후의 빛,데이빗 토히,(주)씨제이이엔엠,2004-08-13,장편,미국,0,0,427154,0,"295,772",SF,12세관람가,일반영화
쏘우 2,대런 린 보우즈만,(주)미로비젼,2006-02-16,장편,미국,0,0,426650,0,"139,670",공포(호러),청소년관람불가,일반영화
두 개의 달,김동빈,롯데쇼핑㈜롯데엔터테인먼트,2012-07-12,장편,한국,347,2944786748,425972,"605,667,102","83,100",공포(호러),15세관람가,일반영화
나를 잊지 말아요,이윤정,(주)씨제이이엔엠,2016-01-07,장편,한국,559,3398915000,425799,"980,935,100","117,670",멜로/로맨스,15세관람가,일반영화
드래곤볼 에볼루션,제임스 왕,이십세기폭스코리아(주),2009-03-12,장편,미국,278,2695732696,425571,"629,870,000","93,670",액션,전체관람가,일반영화
월드 오브 투모로우,케리 코란,(주)쇼박스,2005-01-14,장편,미국,0,0,424551,0,"122,474",SF,전체관람가,일반영화
로망스,문승욱,(주)씨제이이엔엠,2006-03-16,장편,한국,0,0,424514,0,"106,261",멜로/로맨스,청소년관람불가,일반영화
다이버전트,닐 버거,롯데쇼핑㈜롯데엔터테인먼트,2014-04-16,장편,미국,511,3297709011,424041,"1,056,211,911","129,527",SF,15세관람가,일반영화
티끌모아 로맨스,김정환,필라멘트픽쳐스,2011-11-10,장편,한국,294,2942253500,424002,"755,646,500","101,133",멜로/로맨스,15세관람가,일반영화
뉴 폴리스 스토리,진목승,(유)영화사 화수분,2005-01-21,장편,기타,0,0,423487,0,"87,332",액션,15세관람가,일반영화
신이 보낸 사람,김진무,주식회사 마운틴픽쳐스,2014-02-13,장편,한국,285,3059228600,423026,"823,931,500","111,391",드라마,15세관람가,독립/예술영화
기다리다 미쳐,류승진,(주)시네마서비스,2008-01-01,장편,한국,239,2725342667,422363,"724,091,167","105,705",멜로/로맨스,15세관람가,일반영화
우리 방금 결혼했어요,숀 레비,이십세기폭스필름코퍼레이션,2003-03-07,장편,미국,0,0,420000,0,"166,250",멜로/로맨스,15세관람가,일반영화
뚝방전설,조범구,(주)쇼박스,2006-09-07,장편,한국,0,0,418445,0,"101,088",액션,청소년관람불가,일반영화
더 수어사이드 스쿼드,제임스 건,워너브러더스 코리아(주),2021-08-04,장편,미국,1066,4382670930,418281,"1,356,592,110","126,091",액션,청소년관람불가,일반영화
온워드: 단 하루의 기적,댄 스캔론,월트디즈니컴퍼니코리아 유한책임회사,2020-06-17,장편,미국,1138,3581335060,416739,"1,108,737,520","122,318",애니메이션,전체관람가,일반영화
니 부모 얼굴이 보고 싶다,김지훈,(주)마인드마크,2022-04-27,장편,한국,1008,3948625280,416374,"913,708,940","98,153",드라마,15세관람가,일반영화
흥부: 글로 세상을 바꾼 자,조근현,롯데쇼핑㈜롯데엔터테인먼트,2018-02-14,장편,한국,627,3381050200,416303,"886,785,300","107,570",사극,12세관람가,일반영화
놉,조던 필,유니버설픽쳐스인터내셔널 코리아(유),2022-08-17,장편,미국,1031,4709541135,415969,"1,994,749,630","168,031",미스터리,12세관람가,일반영화
무뢰한,오승욱,CGV아트하우스,2015-05-27,장편,한국,482,3262087431,414626,"1,116,340,931","136,987",멜로/로맨스,청소년관람불가,일반영화
늑대소년-확장판,조성희,(주)씨제이이엔엠,2012-12-06,장편,한국,278,2868302500,414083,"767,129,500","105,940",멜로/로맨스,15세관람가,일반영화
미스터 주부퀴즈왕,유선동,(주)쇼박스,2005-09-30,장편,한국,0,0,413157,0,"131,179",코미디,12세관람가,일반영화
해피 데스데이 2 유,크리스토퍼 랜던,유니버설픽쳐스인터내셔널 코리아(유),2019-02-14,장편,미국,657,3437809200,412850,"942,294,620","110,636",공포(호러),15세관람가,일반영화
킹 아서: 제왕의 검,가이 리치,워너브러더스 코리아(주),2017-05-17,장편,영국,588,3348220655,412843,"953,887,855","113,292",판타지,12세관람가,일반영화
리멤버,이일형,(주)에이스메이커무비웍스,2022-10-26,장편,한국,1189,3970165717,412836,"1,037,751,573","104,904",드라마,15세관람가,일반영화
스텝 업,앤 플레쳐,㈜스튜디오이쩜영,2006-11-23,장편,미국,0,0,411858,0,"149,027",멜로/로맨스,12세관람가,일반영화
주온 : 끝의 시작,오치아이 마사유키,(주)넥스트엔터테인먼트월드(NEW),2014-07-16,장편,일본,394,3071127231,410644,"695,266,031","88,552",공포(호러),15세관람가,일반영화
극장판 공룡메카드: 타이니소어의 섬,유재운,(주)넥스트엔터테인먼트월드(NEW),2019-01-10,장편,한국,763,3140214420,410131,"535,720,640","66,881",애니메이션,전체관람가,일반영화
러빙 빈센트,도로타 코비엘라,(주)스튜디오디에이치엘,2017-11-09,장편,영국,272,3252392261,408322,"1,739,794,961","212,631",애니메이션,15세관람가,독립/예술영화
넛잡 2,캘런 브런커,롯데쇼핑㈜롯데엔터테인먼트,2017-10-03,장편,한국,526,3038945100,407727,"513,530,500","66,475",애니메이션,전체관람가,일반영화
니코: 산타비행단의 모험,요르겐 레르담,씨너스엔터테인먼트(주),2012-12-25,장편,기타,306,2786834000,407264,"630,429,500","88,120",애니메이션,전체관람가,일반영화
BB프로젝트,진목승,브에나비스타인터내셔널코리아,2006-09-28,장편,기타,0,0,406558,0,"98,873",액션,12세관람가,일반영화
"사랑해, 말순씨",박흥식,쇼이스트(주),2005-11-03,장편,한국,0,0,406526,0,"112,939",드라마,12세관람가,일반영화
나의 소녀시대,프랭키 첸,오드,2016-05-12,장편,기타,176,3292020500,406284,"1,109,174,800","134,427",멜로/로맨스,15세관람가,독립/예술영화
섹스 앤 더 시티 2,마이클 패트릭 킹,워너브러더스 코리아(주),2010-06-10,장편,미국,238,3074026799,405580,"1,683,672,000","214,021",드라마,청소년관람불가,일반영화
