,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나
2793,2818,쿵후팬더: 영웅의 탄생,레오 로,미디어데이,2013-07-04,장편,중국,197,465317000,74143,"83,354,500","12,100",애니메이션,전체관람가,독립/예술영화,2013,7,여름,213351030,0
2794,2819,센츄리온,닐 마샬,쇼박스,2010-08-26,장편,영국,143,553415176,74131,"173,759,500","22,071",액션,청소년관람불가,독립/예술영화,2010,8,여름,147759214,0
2795,2820,피라냐 3DD,존 걸레거,롯데엔터테인먼트,2012-08-01,장편,미국,269,639495500,74044,"172,485,500","18,959",공포(호러),청소년관람불가,일반영화,2012,8,여름,194890587,0
2796,2821,로맨틱 헤븐,장진,시네마서비스,2011-03-24,장편,한국,260,542739500,73729,"205,652,500","26,655",드라마,12세관람가,일반영화,2011,3,봄,159724465,0
2797,2822,베니싱,브래드 앤더슨,넥스트엔터테인먼트월드,2011-03-31,장편,미국,181,542044000,73582,"174,437,000","22,748",미스터리,12세관람가,일반영화,2011,3,봄,159724465,0
2798,2823,위자,스틸즈 화이트,유니버설픽쳐스인터내셔널 코리아,2015-04-16,장편,미국,337,570154035,73549,"143,358,035","17,902",미스터리,15세관람가,일반영화,2015,4,봄,217299523,0
2799,2824,리스본행 야간열차,빌 어거스트,나이너스엔터테인먼트,2014-06-05,장편,독일,57,565928536,73462,"388,377,236","49,002",미스터리,15세관람가,독립/예술영화,2014,6,여름,215068958,0
2800,2825,바다 탐험대 옥토넛 시즌4: 더 파이널,다라 오코넬,와이드 릴리즈,2017-06-01,장편,영국,167,478767000,73417,"117,397,000","17,400",애니메이션,전체관람가,독립/예술영화,2017,6,여름,219876227,0
2801,2826,카운트다운,기타,제이앤씨미디어그룹,2019-12-12,장편,미국,238,611133000,73412,"188,656,500","22,405",공포(호러),15세관람가,일반영화,2019,12,겨울,226678777,0
2804,2829,나우이즈굿,올 파커,인벤트스톤,2012-11-08,장편,영국,144,501607000,73139,"297,880,000","42,570",드라마,15세관람가,독립/예술영화,2012,11,가을,194890587,0
2805,2831,더 클럽,마르셀 랭겐거,시너지하우스 ,2008-10-02,장편,미국,137,490754500,73126,"231,393,500","33,091",멜로/로맨스,청소년관람불가,일반영화,2008,10,가을,147428639,0
2807,2833,돈 룩 업,아담 맥케이,씨제이 씨지브이,2021-12-08,장편,미국,656,703603870,72980,"265,359,360","27,164",코미디,15세관람가,일반영화,2021,12,겨울,60531087,1
2808,2834,호텔 뭄바이,앤소니 마라스,글뫼 ,2019-05-08,장편,기타,207,599904700,72950,"242,021,000","29,325",스릴러,15세관람가,독립/예술영화,2019,5,봄,226678777,0
2809,2835,빅샤크3: 젤리몬스터 대소동,신우,팝엔터테인먼트,2020-07-29,장편,중국,400,562559660,72912,"62,620,460","7,772",애니메이션,전체관람가,일반영화,2020,7,여름,59523967,1
2810,2836,너를 잊지 않을 거야,하나도 준지,롯데엔터테인먼트,2008-10-30,장편,일본,139,396603500,72895,"79,717,500","13,524",드라마,전체관람가,일반영화,2008,10,가을,147428639,0
2811,2837,엽문4: 더 파이널,엽위신,키다리이엔티,2020-04-01,장편,기타,206,630556300,72886,"182,738,000","20,918",액션,12세관람가,독립/예술영화,2020,4,봄,59523967,1
2812,2838,로망,이창근,메리크리스마스,2019-04-03,장편,한국,405,527390400,72761,"134,919,660","18,197",멜로/로맨스,전체관람가,독립/예술영화,2019,4,봄,226678777,0
