,영화명,감독,배급사,개봉일,출연
55,캡틴 마블,라이언 플렉,월트디즈니스튜디오스코리아,2019-03-06,"['브리 라슨', '사무엘 L. 잭슨', '벤 멘델슨', '주드 로']"
56,쥬라기 월드: 폴른 킹덤,후안 안토니오 바요나,유니버설픽쳐스인터내셔널 코리아,2018-06-06,"['크리스 프랫', '브라이스 달라스 하워드']"
57,청년경찰,김주환,롯데엔터테인먼트,2017-08-09,"['박서준', '강하늘']"
58,숨바꼭질,허정,넥스트엔터테인먼트월드,2013-08-14,"['손현주', '문정희', '전미선']"
59,덕혜옹주,허진호,롯데엔터테인먼트,2016-08-03,"['손예진', '박해일']"
60,더 테러 라이브,김병우,롯데엔터테인먼트,2013-07-31,"['하정우', '이경영', '전혜진']"
61,쥬라기 월드,콜린 트레보로우,유니버설픽쳐스인터내셔널 코리아,2015-06-11,"['크리스 프랫', '브라이스 달라스 하워드', '빈센트 도노프리오', '타이 심킨스', '닉 로빈슨']"
62,의형제,장훈,쇼박스,2010-02-04,"['송강호', '강동원']"
63,감시자들,김병서,넥스트엔터테인먼트월드,2013-07-03,"['설경구', '정우성', '한효주']"
64,2012,롤랜드 에머리히,한국소니픽쳐스릴리징브에나비스타영화,2009-11-12,"['존 쿠삭', '아만다 피트', '치웨텔 에지오포', '탠디 뉴튼', '올리버 플랫']"
65,앤트맨과 와스프,페이튼 리드,월트디즈니스튜디오스코리아,2018-07-04,"['폴 러드', '에반젤린 릴리', '마이클 더글라스', '미셸 파이퍼', '로렌스 피시번', '마이클 페나', '해나 존-케이먼']"
66,닥터 스트레인지,스콧 데릭슨,월트디즈니스튜디오스코리아,2016-10-26,"['베네딕트 컴버배치', '틸다 스윈튼', '치웨텔 에지오포', '레이첼 맥아담스', '매즈 미켈슨']"
67,검은 사제들,장재현,씨제이이엔엠,2015-11-05,"['김윤석', '강동원']"
68,안시성,김광식,넥스트엔터테인먼트월드,2018-09-19,"['조인성', '남주혁', '박성웅']"
69,블랙 팬서,라이언 쿠글러,월트디즈니스튜디오스코리아,2018-02-14,['채드윅 보스만']
70,완득이,이한,씨제이이엔엠,2011-10-20,"['김윤석', '유아인']"
71,트랜스포머: 사라진 시대,마이클 베이,씨제이이엔엠,2014-06-25,"['마크 월버그', '니콜라 펠츠', '잭 레이너', '스탠리 투치', '리빙빙']"
