순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
4540,레미제라블: 뮤지컬 콘서트,제임스 파우웰,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2020-05-13,개봉영화,장편,미국,339,162921920,12426,68174940,5768,뮤지컬,12세이상관람가,일반영화
4541,소나기,안재훈,"(주)연필로명상하기,한국교육방송공사 EBS",,(주)리틀빅픽쳐스,2017-08-31,개봉영화,장편,한국,151,79482808,12425,21701600,3182,애니메이션,전체관람가,독립/예술영화
4542,바리바리 짱,"남기남,정창욱",나눔엔터테인먼트,,CJ ENM,2005-08-19,개봉영화,장편,한국,0,0,12417,0,2063,코미디,12세관람가,일반영화
4543,레옹 디 오리지널,뤽 베송,,(유)조이앤시네마,(주)제이앤씨미디어그룹,2020-06-11,개봉영화,장편,프랑스,130,76130900,12403,39190480,6359,액션,청소년관람불가,일반영화
4544,와일드라이프,폴 다노,,그린나래미디어(주),"그린나래미디어(주),(주)키다리이엔티",2019-12-25,개봉영화,장편,미국,49,98887120,12393,68333140,8270,드라마,15세이상관람가,독립/예술영화
4545,뱅드림! 팝핀' 드림!,카키모토 코다이,,(주)애니플러스,(주)애니플러스,2022-03-24,개봉영화,장편,일본,105,121601460,12386,51443710,4935,애니메이션,전체관람가,일반영화
4546,나의 작은 시인에게,사라 코랑겔로,,(주)엣나인필름,(주)엣나인필름,2019-04-04,개봉영화,장편,미국,46,99935044,12385,66661644,7755,드라마,15세이상관람가,독립/예술영화
4547,너는 달밤에 빛나고,츠키카와 쇼,,우성엔터테인먼트,"(주)이수C&E,(주)콘텐츠판다",2020-06-10,개봉영화,장편,일본,178,109578000,12382,39604500,4378,멜로/로맨스,12세이상관람가,독립/예술영화
4548,할람 포,데이빗 맥킨지,,(주)영화사 진진,(주)영화사 진진,2008-04-30,개봉영화,장편,영국,15,84243500,12379,56498000,8018,드라마,청소년관람불가,독립/예술영화
4549,업 포 러브,로랑 티라르,,(주)엣나인필름,(주)엣나인필름,2016-12-21,개봉영화,장편,프랑스,64,97231300,12377,66438200,8098,멜로/로맨스,15세이상관람가,독립/예술영화
4550,공기인형,고레에다 히로카즈,아스믹에이스엔터테인먼트,"오드,CJ ENM","오드,CJ ENM",2010-04-08,개봉영화,장편,일본,15,95369439,12371,70156800,8913,드라마,"청소년관람불가,15세이상관람가",독립/예술영화
4551,하얀리본,미카엘 하네케,"엑스-필름 크리에이티브 풀,웨가 필름,르 필름즈 두 로자즈,럭키 레드","(주)영화사 안다미로,(주)피터팬픽쳐스","(주)영화사 안다미로,(주)영화사 진진",2010-07-01,개봉영화,장편,독일,2,90595994,12367,87078600,11850,드라마,15세이상관람가,독립/예술영화
4552,호텔 르완다,테리 조지,"유나이티드 아티스트,라이온스 게이트 필름즈",(주)동숭아트센터,(주)동숭아트센터,2006-09-07,개봉영화,장편,영국,0,0,12353,0,9289,드라마,12세관람가,일반영화
4553,불도저에 탄 소녀,박이웅,(주)고집스튜디오,,트윈플러스파트너스(주),2022-04-07,개봉영화,장편,한국,203,102995240,12335,56147770,6974,드라마,15세이상관람가,독립/예술영화
4554,파워 오브 도그,제인 캠피온,,,씨제이 씨지브이(CJ CGV)(주),2021-11-17,개봉영화,장편,미국,113,111354070,12319,66479670,7391,드라마,15세이상관람가,일반영화
4555,트루맛쇼,김재환,(주)비투이,,(주)더 피플,2011-06-02,개봉영화,장편,한국,11,93784000,12311,67972500,8428,다큐멘터리,12세이상관람가,독립/예술영화
4556,숨,김기덕,(주)김기덕 필름,,스폰지,2007-04-26,개봉영화,장편,한국,0,0,12293,0,8954,드라마,15세이상관람가,독립/예술영화
4557,세비지 그레이스,톰 칼린,,위드시네마,실버스푼,2009-07-09,개봉영화,장편,프랑스,8,88603805,12288,68119500,9190,드라마,청소년관람불가,독립/예술영화
4558,제로 포커스,이누도 잇신,,거원시네마(주),CJ ENM,2010-03-25,개봉영화,장편,일본,76,90753873,12260,37132500,4789,드라마,15세이상관람가,일반영화
4559,로큰롤 인생,스티븐 워커,,(주)영화사 진진,(주)영화사 진진,2008-11-27,개봉영화,장편,영국,4,78891181,12255,70507000,10901,다큐멘터리,전체관람가,독립/예술영화
4560,벨라,알레한드로 고메즈 몬테베르드,,크로스픽쳐스(주),"크로스픽쳐스(주),실버스푼",2009-10-01,개봉영화,장편,미국,17,90113866,12250,65814000,8894,드라마,전체관람가,독립/예술영화
4561,밤의 이야기,미셸 오슬로,,데이지엔터테인먼트,데이지엔터테인먼트,2012-11-29,개봉영화,장편,프랑스,21,92276000,12249,70957000,9243,애니메이션,전체관람가,독립/예술영화
4562,피터팬: 후크 선장과 결투의 날,찬드라세카란,,그린나래미디어(주),(주)팝엔터테인먼트,2019-05-30,개봉영화,장편,아일랜드,129,92201100,12220,18055500,2267,애니메이션,전체관람가,일반영화
4563,어우동: 주인 없는 꽃,이수성,"(유)조이앤컨텐츠그룹,㈜리필름",,(주)드림팩트엔터테인먼트,2015-01-29,개봉영화,장편,한국,18,60141000,12203,18432000,3018,멜로/로맨스,청소년관람불가,일반영화
4564,걸리버 리턴즈,,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2022-11-03,개봉영화,장편,우크라이나,206,95148587,12162,14617100,1552,애니메이션,전체관람가,일반영화
4565,시크릿 가든,마크 먼든,,주식회사 세미콜론스튜디오,(주)이수C&E,2020-08-19,개봉영화,장편,영국,267,101869660,12137,45906660,5249,드라마,전체관람가,독립/예술영화
4566,도성풍운 3,왕정,,(주)라인앤지인,(주)드림팩트엔터테인먼트,2016-11-30,개봉영화,장편,홍콩,51,67033500,12135,20172000,3541,코미디,15세이상관람가,독립/예술영화
4567,특수요원 빼꼼,장양,,예지림엔터테인먼트,"(주)띵크,예지림엔터테인먼트,(주)인터파크",2022-06-01,개봉영화,장편,중국,115,106392400,12122,18980340,1928,애니메이션,전체관람가,독립/예술영화
4568,더 레이서,키에론 J 월쉬,,주식회사 모쿠슈라픽쳐스,(주)다자인소프트,2021-02-24,개봉영화,장편,기타,146,99539540,12117,53261480,6380,드라마,15세이상관람가,독립/예술영화
4569,타투,이서,"(주)다세포클럽,(주)코리아스토리",,와이드 릴리즈(주),2015-12-10,개봉영화,장편,한국,133,99263100,12103,31315000,3727,스릴러,청소년관람불가,일반영화
4570,취한 말들을 위한 시간,바흐만 고바디,,,㈜영화사 백두대간,2004-07-30,개봉영화,장편,이란,0,0,12099,0,12099,드라마,전체관람가,일반영화
4571,맨데이트: 신이 주신 임무,박희준,메가픽쳐스제이씨(주),,메가픽쳐스제이씨(주),2008-10-30,개봉영화,장편,한국,84,78616000,12087,18421000,2648,스릴러,청소년관람불가,일반영화
4572,인터스테이트,밥 게일,,안드로메다엔터테인먼트,프라임픽쳐스,2003-11-14,개봉영화,장편,미국,0,0,12084,0,4680,어드벤처,12세관람가,일반영화
4573,조금만 더 가까이,김종관,"㈜인디스토리,조금만 더 가까이 제작위원회",,KT&G 상상마당 영화사업팀 컴퍼니에스에스(주),2010-10-28,개봉영화,장편,한국,20,92621543,12082,64697700,8193,멜로/로맨스,청소년관람불가,독립/예술영화
4574,성덕,오세연,해랑사,,오드,2022-09-28,개봉영화,장편,한국,60,105907892,12078,77074693,8452,다큐멘터리,12세이상관람가,독립/예술영화
4575,피닉스,크리스티안 펫졸드,,M&M 인터내셔널,M&M 인터내셔널,2021-07-22,개봉영화,장편,독일,54,101760190,12057,72534290,8286,드라마,12세이상관람가,독립/예술영화
4576,르누아르,질 부르도스,,(주)피터팬픽쳐스,프리비젼엔터테인먼트,2014-02-13,개봉영화,장편,프랑스,22,87654900,12056,71332900,9511,드라마,청소년관람불가,독립/예술영화
4577,토마스와 친구들: 블루마운틴 미스터리,그렉 티어넌,,그린나래미디어(주),(주)팝엔터테인먼트,2013-10-17,개봉영화,장편,영국,49,80186500,12054,34987000,4765,애니메이션,전체관람가,일반영화
4578,사라의 열쇠,질스 파겟-브레너,,(주)미디어데이,(주)미디어데이,2011-08-11,개봉영화,장편,프랑스,13,91385400,12049,69635400,8835,드라마,12세이상관람가,독립/예술영화
4579,쿵푸 요가,당계례,,브릿지웍스 엔터테인먼트(주),브릿지웍스 엔터테인먼트(주),2017-03-29,개봉영화,장편,중국,108,91563500,12048,34534000,4403,액션,12세이상관람가,독립/예술영화
4580,낫아웃,이정곤,"이안필름,(주)키즈리턴",,"(주)케이티알파,판씨네마(주)",2021-06-03,개봉영화,장편,한국,203,91294980,12045,52982670,7428,드라마,15세이상관람가,독립/예술영화
4581,펄스,짐 손제로,,유니코리아문예투자(주),유니코리아문예투자(주),2007-08-22,개봉영화,장편,미국,0,0,12043,0,4695,공포(호러),15세이상관람가,일반영화
4582,고양이 춤,윤기형,고양이구름 필름,,㈜인디스토리,2011-11-17,개봉영화,장편,한국,24,89895300,12033,56694800,7373,다큐멘터리,전체관람가,독립/예술영화
4583,스코어: 영화음악의 모든 것,맷 슈레이더,,"(주)라이크콘텐츠,영화사청춘 주식회사",(주)라이크콘텐츠,2017-10-19,개봉영화,장편,미국,34,95563500,12032,77972400,9559,다큐멘터리,전체관람가,독립/예술영화
4584,디태치먼트,토니 케이,,(주)수키픽쳐스,(주)프레인글로벌,2014-05-08,개봉영화,장편,미국,41,91678900,12031,55176400,6993,드라마,청소년관람불가,독립/예술영화
4585,랜드 오브 마인,마틴 잔드블리엣,,(주)싸이더스,"(주)싸이더스,아이 엠",2017-04-06,개봉영화,장편,덴마크,97,89516900,12026,38545500,4900,드라마,15세이상관람가,독립/예술영화
4586,오 마이 파파,박혁지,(주)하이하버픽쳐스,,(주)모멘텀엔터테인먼트,2016-11-10,개봉영화,장편,한국,36,85137600,11999,31087300,4190,다큐멘터리,전체관람가,독립/예술영화
4587,세션 : 이 남자가 사랑하는 법,벤 루윈,,이십세기폭스코리아(주),이십세기폭스코리아(주),2013-01-17,개봉영화,장편,미국,15,94415500,11974,82272500,10388,드라마,청소년관람불가,독립/예술영화
4588,내가 고백을 하면,조성규,"(주)영화사 조제,(주)스폰지이엔티",,(주)마인스 엔터테인먼트,2012-11-15,개봉영화,장편,한국,37,91430000,11969,65202000,8384,멜로/로맨스,15세이상관람가,독립/예술영화
4589,래빗 홀,존 카메론 밋첼,,(주)누리픽쳐스,프리비젼엔터테인먼트,2011-12-22,개봉영화,장편,미국,16,93087400,11939,72374400,8976,드라마,15세이상관람가,독립/예술영화
4590,바이올렛 에버가든 ? 영원과 자동 수기 인형 -,후지타 하루카,,미라지엔터테인먼트,(주)라이크콘텐츠,2020-03-26,개봉영화,장편,일본,62,104091460,11934,43978500,4790,애니메이션,전체관람가,독립/예술영화
4591,리틀 맨하탄,마크 레빈,,(주)영화사 빅,(주)영화사 빅,2018-06-27,개봉영화,장편,미국,139,96947500,11909,43690300,5235,멜로/로맨스,전체관람가,일반영화
4592,엘프,우테 폰 뮌쇼폴,,(주)박수엔터테인먼트,(주)박수엔터테인먼트,2021-02-10,개봉영화,장편,독일,228,100001300,11906,36326410,4325,애니메이션,전체관람가,일반영화
4593,마티아스와 막심,자비에 돌란,,(주)엣나인필름,(주)엣나인필름,2020-07-23,개봉영화,장편,캐나다,91,106464420,11896,82123420,8651,드라마,15세이상관람가,독립/예술영화
4594,라스트 레터,이와이 슌지,,(주)미디어캐슬,(주)스튜디오 산타클로스엔터테인먼트,2021-02-24,개봉영화,장편,일본,160,99599650,11889,58260760,6840,멜로/로맨스,전체관람가,독립/예술영화
4595,갈매기,마이클 메이어,,미디어소프트,(주)뮤제엔터테인먼트,2018-12-13,개봉영화,장편,미국,43,97698950,11887,68808350,7773,드라마,12세이상관람가,독립/예술영화
4596,내 친구 정일우,김동원,푸른영상,,(주)시네마달,2017-10-26,개봉영화,장편,한국,80,75659600,11887,35312300,4823,다큐멘터리,전체관람가,독립/예술영화
4597,씨민과 나데르의 별거,아쉬가르 파라디,,(주)영화사 진진,(주)영화사 진진,2011-10-13,개봉영화,장편,이란,17,89295500,11879,77775500,9956,드라마,12세이상관람가,독립/예술영화
4598,케이크메이커,오피르 라울 그라이저,,알토미디어(주),알토미디어(주),2018-05-24,개봉영화,장편,독일,65,96832400,11876,62257600,7108,드라마,15세이상관람가,독립/예술영화
