,순번,영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분,연도,월,계절,총 관객수,코로나,출연,평점
50,2640,원피스 극장판 Z,나가미네 타츠야,씨제이이엔엠,2013-03-21,장편,일본,267,626891000,93239,"150,616,000","20,860",애니메이션,전체관람가,일반영화,2013,3,봄,213351030,0,"['타나카 마유미', '나카이 카즈야', '오카무라 아케미', '시노하라 료코', '카가와 테루유키']",9.03
51,2641,써티 데이즈 오브 나이트,데이빗 슬레이드,케이디미디어,2008-01-10,장편,미국,122,623841500,93191,"244,311,000","34,592",공포(호러),청소년관람불가,일반영화,2008,1,겨울,147428639,0,"['조쉬 하트넷', '멜리사 조지']",7.52
52,2642,프렌치 디스패치,웨스 앤더슨,월트디즈니스튜디오스코리아,2021-11-18,장편,미국,273,998413830,93116,"640,126,680","59,283",코미디,15세관람가,독립/예술영화,2021,11,가을,60531087,1,"['티모시 샬라메', '빌 머레이', '틸다 스윈튼', '제프리 라이트', '베니시오 델 토로', '레아 세이두', '프란시스 맥도맨드', '애드리언 브로디', '오웬 윌슨', '리나 쿠드리', '스티브 박', '마티유 아말릭']",7.96
53,2643,태풍이 지나가고,고레에다 히로카즈,티캐스트,2016-07-27,장편,일본,72,772484972,93005,"542,795,372","63,098",드라마,12세관람가,독립/예술영화,2016,7,여름,217026182,0,"['아베 히로시', '키키 키린', '마키 요코', '요시자와 타이요']",8.62
54,2644,루이스,울프강 라우엔슈타인,스마일이엔티,2018-09-20,장편,독일,325,729147750,93000,"175,615,150","21,102",애니메이션,전체관람가,독립/예술영화,2018,9,가을,216385269,0,"['폴 타이랙', '캘럼 말로니', '더모트 마제니스', '이안 코핑거']",8.94
55,2646,파이브 피트,저스틴 밸도니,누리픽쳐스,2019-04-10,장편,미국,457,805051420,92713,"318,561,630","35,861",드라마,15세관람가,일반영화,2019,4,봄,226678777,0,"['콜 스프로즈', '헤일리 루 리차드슨']",9.02
56,2647,7번째 아들,세르게이 보드로프,유니버설픽쳐스인터내셔널 코리아,2015-02-11,장편,미국,358,729980451,92598,"218,674,251","25,546",어드벤처,12세관람가,일반영화,2015,2,겨울,217299523,0,"['줄리안 무어', '벤 반스', '제프 브리지스']",4.92
57,2649,샤크 나이트 3D,데이비드 R. 엘리스,화앤담이엔티,2011-09-15,장편,미국,239,855047000,92505,"249,100,500","24,237",스릴러,15세관람가,일반영화,2011,9,가을,159724465,0,"['사라 팩스톤', '앨리사 디아즈', '더스틴 밀리건', '캐서린 맥피']",5.19
58,2651,철가방 우수氏,윤학렬,씨제이이엔엠,2012-11-22,장편,한국,119,604032500,92404,"267,638,500","39,370",드라마,12세관람가,독립/예술영화,2012,11,가을,194890587,0,['최수종'],9.12
59,2652,방탄소년단: 옛 투 컴 인 시네마,오윤동,씨제이포디플렉스 ,2023-02-01,장편,한국,120,2031919000,92369,"1,062,559,500","48,306",공연,전체관람가,일반영화,2023,2,겨울,112805094,0,"['RM', '진', '슈가', '제이홉', '지민', '뷔', '정국']",9.35
