영화명,감독,배급사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
미이라 3:황제의 무덤,롭 코헨,유니버설픽쳐스인터내셔널 코리아,2008-07-30,장편,미국,527,26222207084,4090795,"6,942,890,084","1,027,371",액션,12세관람가,일반영화
7급 공무원,신태라,롯데엔터테인먼트,2009-04-22,장편,한국,475,26701311856,4088799,"8,090,460,000","1,173,540",코미디,12세관람가,일반영화
다크 나이트,크리스토퍼 놀란,해리슨앤컴퍼니,2008-08-06,장편,미국,462,27059471306,4087355,"10,406,924,000","1,487,898",범죄,15세관람가,일반영화
댄싱퀸,이석훈,씨제이이엔엠,2012-01-18,장편,한국,534,30129259500,4057546,"8,223,006,000","1,055,086",코미디,12세관람가,일반영화
우리 생애 최고의 순간,임순례,싸이더스,2008-01-10,장편,한국,418,26151780425,4044582,"8,551,706,425","1,264,173",드라마,전체관람가,일반영화
꾼,장창원,쇼박스,2017-11-22,장편,한국,1314,31313568795,4018341,"7,524,464,445","931,901",범죄,15세관람가,일반영화
혹성탈출: 반격의 서막,맷 리브스,이십세기폭스코리아,2014-07-10,장편,미국,922,31509793095,4002134,"9,067,860,195","1,095,630",액션,12세관람가,일반영화
타짜-신의 손,강형철,롯데엔터테인먼트,2014-09-03,장편,한국,890,32267244827,4001813,"8,495,857,527","1,016,403",드라마,청소년관람불가,일반영화
쿵푸팬더3,알레산드로 칼로니,씨제이이엔엠,2016-01-28,장편,미국,1365,31340798156,3984812,"8,695,148,256","1,045,418",애니메이션,전체관람가,일반영화
캡틴 아메리카: 윈터 솔져,안소니 루소,월트디즈니스튜디오스코리아,2014-03-26,장편,미국,1106,31710585385,3963220,"10,405,400,885","1,237,982",액션,15세관람가,일반영화
박수건달,조진규,쇼박스,2013-01-09,장편,한국,599,28343986569,3893216,"6,808,915,069","894,127",코미디,15세관람가,일반영화
베놈,루벤 플레셔,소니픽쳐스엔터테인먼트코리아극장배급지점,2018-10-03,장편,미국,1308,34100211207,3888096,"9,452,036,857","1,026,909",액션,15세관람가,일반영화
조선명탐정 : 사라진 놉의 딸,김석윤,쇼박스,2015-02-11,장편,한국,811,30456879428,3872015,"6,908,501,928","845,522",사극,12세관람가,일반영화
역린,이재규,롯데엔터테인먼트,2014-04-30,장편,한국,1054,29893297890,3849433,"8,426,821,290","1,044,988",사극,15세관람가,일반영화
매드 맥스: 분노의 도로,조지 밀러,워너브러더스 코리아,2015-05-14,장편,미국,799,32906364462,3842441,"11,443,176,062","1,271,954",액션,15세관람가,일반영화
남한산성,황동혁,씨제이이엔엠,2017-10-03,장편,한국,1229,31067321992,3829891,"7,375,553,392","889,444",사극,15세관람가,일반영화
반도,연상호,넥스트엔터테인먼트월드,2020-07-15,장편,한국,2575,33071341280,3812080,"8,005,831,840","895,163",액션,15세관람가,일반영화
데드풀 2,데이빗 레이치,이십세기폭스코리아,2018-05-16,장편,미국,1576,34185664639,3784602,"10,757,126,939","1,145,250",액션,청소년관람불가,일반영화
쌍화점,유하,쇼박스,2008-12-30,장편,한국,499,25616489949,3779553,"15,503,994,514","2,175,717",드라마,청소년관람불가,일반영화
암수살인,김태균,쇼박스,2018-10-03,장편,한국,1177,32855895548,3772620,"7,777,232,448","862,386",범죄,15세관람가,일반영화
국가부도의 날,최국희,씨제이이엔엠,2018-11-28,장편,한국,1180,30891765837,3754983,"7,993,870,137","937,443",드라마,12세관람가,일반영화
신기전,김유진,(주)씨제이이엔엠,2008-09-04,장편,한국,585,24314570667,3726134,"6,189,726,667","891,357",사극,15세관람가,일반영화
미이라,알렉스 커츠먼,유니버설픽쳐스인터내셔널 코리아,2017-06-06,장편,미국,1257,30504689978,3689325,"7,851,059,428","909,202",액션,15세관람가,일반영화
82년생 김지영,김도영,롯데컬처웍스롯데엔터테인먼트,2019-10-23,장편,한국,1486,30305744310,3679019,"8,397,712,370","994,852",드라마,12세관람가,일반영화
분노의 질주: 홉스&쇼,데이빗 레이치,유니버설픽쳐스인터내셔널 코리아,2019-08-14,장편,미국,1311,32241767793,3657536,"7,717,831,533","839,251",액션,12세관람가,일반영화
분노의 질주: 더 익스트림,F. 게리 그레이,유니버설픽쳐스인터내셔널 코리아,2017-04-12,장편,미국,1469,29981156348,3653238,"7,936,210,998","932,027",액션,15세관람가,일반영화
더 퍼스트 슬램덩크,이노우에 다케히코,넥스트엔터테인먼트월드,2023-01-04,장편,일본,1023,37393242931,3638498,"11,993,248,556","1,142,736",애니메이션,12세관람가,일반영화
너의 이름은.,신카이 마코토,플러스엠 엔터테인먼트,2017-01-04,장편,일본,947,29248867156,3637122,"9,352,306,256","1,124,392",애니메이션,12세관람가,일반영화
모가디슈,류승완,롯데컬처웍스롯데엔터테인먼트,2021-07-28,장편,한국,1688,34558297730,3613984,"8,498,347,010","887,264",액션,15세관람가,일반영화
인턴,낸시 마이어스,워너브러더스 코리아,2015-09-24,장편,미국,496,28518443148,3610642,"10,024,307,548","1,228,273",코미디,12세관람가,일반영화
라라랜드,데이미언 셔젤,판씨네마,2016-12-07,장편,미국,727,30006844694,3597193,"13,131,083,194","1,536,629",드라마,12세관람가,일반영화
귀향,조정래,와우픽쳐스,2016-02-24,장편,한국,876,27245051990,3586523,"6,310,471,892","801,788",드라마,15세관람가,일반영화
리얼 스틸,숀 레비,한국소니픽쳐스릴리징브에나비스타영화,2011-10-12,장편,미국,603,26566677000,3579666,"8,578,776,500","1,090,591",액션,12세관람가,일반영화
신의 한 수,조범구,쇼박스,2014-07-03,장편,한국,794,28777712256,3562123,"8,104,315,156","965,372",범죄,청소년관람불가,일반영화
코코,리 언크리치,월트디즈니스튜디오스코리아,2018-01-11,장편,미국,1177,27685479440,3510017,"8,547,812,240","1,024,250",애니메이션,전체관람가,일반영화
부러진 화살,정지영,넥스트엔터테인먼트월드,2012-01-18,장편,한국,453,25878110500,3450941,"7,619,815,000","972,059",드라마,15세관람가,일반영화
끝까지 간다,김성훈,쇼박스,2014-05-29,장편,한국,645,27006007900,3450143,"7,567,987,400","927,324",액션,15세관람가,일반영화
비긴 어게인,존 카니,판씨네마,2014-08-13,장편,미국,213,27096673061,3427464,"10,856,208,161","1,324,469",멜로/로맨스,15세관람가,독립/예술영화
스파이,이승준,씨제이이엔엠,2013-09-05,장편,한국,785,24436429305,3423920,"5,483,475,805","733,029",액션,15세관람가,일반영화
그것만이 내 세상,최성현,씨제이이엔엠,2018-01-17,장편,한국,862,27441213382,3417629,"6,258,257,482","759,455",코미디,12세관람가,일반영화
이끼,강우석,(주)씨제이이엔엠,2010-07-14,장편,한국,736,25856306126,3408144,"8,251,736,000","1,044,532",드라마,청소년관람불가,일반영화
토이 스토리 4,조시 쿨리,월트디즈니스튜디오스코리아,2019-06-20,장편,미국,1336,28757726040,3399913,"9,071,405,870","1,009,214",애니메이션,전체관람가,일반영화
돈,박누리,쇼박스,2019-03-20,장편,한국,1431,28869614062,3389035,"7,287,586,982","833,513",범죄,15세관람가,일반영화
포화속으로,이재한,롯데엔터테인먼트,2010-06-16,장편,한국,736,24217600897,3385706,"6,203,066,000","822,965",드라마,12세관람가,일반영화
맨 인 블랙 3,배리 소넨필드,한국소니픽쳐스릴리징브에나비스타영화,2012-05-24,장편,미국,770,27301520070,3379762,"9,258,393,070","1,068,672",액션,12세관람가,일반영화
