순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
16272,스와핑 : 대학 동창들 무삭제,김진수,(주)영화사가을,,영화사가을,2019-11-29,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16273,스와핑 : 두 부부의 이혼여행,이대길,뷰소프트,,뷰소프트,2020-08-07,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16274,스와핑 : 두 부부의 이혼여행 무삭제,이대길,뷰소프트,,뷰소프트,2020-11-12,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16275,스와핑 : 두 여자,왕지방,(주)나우콘텐츠,,나우콘텐츠,2020-04-17,개봉영화,장편,한국,1,"2,000",1,멜로/로맨스,청소년관람불가,일반영화
16276,스와핑 : 두자매,김진수,(주)영화사가을,,영화사가을,2019-08-30,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16277,스와핑 : 두자매 무삭제,김진수,(주)영화사가을,,영화사가을,2019-10-25,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16278,스와핑 : 맛있는 자매,한대위,(주)영화사가을,,영화사가을,2021-11-27,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16279,스와핑 : 맛있는 자매 무삭제,한대위,(주)영화사가을,,영화사가을,2022-04-08,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16280,스와핑 : 부부모임,최민현,(주)영화사가을,,영화사가을,2020-06-25,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16281,스와핑 : 부부모임 무삭제,최민현,(주)영화사가을,,영화사가을,2020-10-22,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16282,스와핑 : 상사의 아내,김환,(주)영화사가을,,영화사가을,2019-12-18,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16283,스와핑 : 상사의 아내 2,김환,(주)영화사가을,,영화사가을,2021-04-08,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16284,스와핑 : 상사의 아내 2 무삭제,김환,(주)영화사가을,,영화사가을,2021-07-25,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16285,스와핑 : 선배의 아내,한대위,(주)영화사가을,,영화사가을,2020-06-01,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16286,스와핑 : 선배의 아내 무삭제,한대위,(주)영화사가을,,영화사가을,2020-12-16,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16287,스와핑 : 아내의 동의,최민현,(주)영화사가을,,영화사가을,2020-01-22,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16288,스와핑 : 아내의 동의 무삭제,최민현,(주)영화사가을,,영화사가을,2020-03-25,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16289,스와핑 : 아내의 친구 무삭제,정철진,(주)영화사가을,,영화사가을,2020-04-02,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16290,스와핑 : 어린커플,안혜영,레드 카펫 프로덕션,,주식회사 루믹스미디어,2021-02-24,개봉영화,장편,한국,1,"1,000",1,멜로/로맨스,청소년관람불가,일반영화
16291,스와핑 : 여자 헬스 트레이너,최찬호,(주)영화사가을,,영화사가을,2021-10-04,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16292,스와핑 : 여자 헬스 트레이너 무삭제,최찬호,(주)영화사가을,,영화사가을,2022-01-24,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16293,스와핑 : 옆집 신혼부부,최찬호,(주)영화사가을,,영화사가을,2021-10-26,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16294,스와핑 : 옆집 신혼부부 무삭제,최찬호,(주)영화사가을,,영화사가을,2022-01-24,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16295,스와핑 : 완벽한 이웃 무삭제,김부곤,(주)영화사가을,,영화사가을,2020-03-12,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16296,스와핑 : 자매의 남자들,이대길,뷰소프트,,뷰소프트,2020-09-06,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16297,스와핑 : 자매의 남자들 무삭제,이대길,뷰소프트,,뷰소프트,2020-12-25,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16298,스와핑 : 잘못된 쾌락,최민현,(주)영화사가을,,영화사가을,2020-01-17,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16299,스와핑 : 잘못된 쾌락 무삭제,최민현,(주)영화사가을,,영화사가을,2020-03-31,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16300,스와핑 : 친구부부의 쾌락,김민식,(주)영화사가을,,영화사가을,2017-01-17,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16301,스와핑 : 친구부부의 쾌락 무삭제판,김민식,(주)영화사가을,,영화사가을,2017-03-28,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16302,스와핑 : 친구부부의 쾌락 2,"정완경,안상진",(주)영화사가을,,영화사가을,2018-08-16,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16303,스와핑 : 친구부부의 쾌락 2 무삭제,정완경,(주)영화사가을,,영화사가을,2018-11-12,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16304,스와핑 : 친구부부의 쾌락 3,김진수,(주)영화사가을,,영화사가을,2019-07-26,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16305,스와핑 : 친구부부의 쾌락 3 무삭제,김진수,(주)영화사가을,,영화사가을,2019-11-22,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16306,스와핑 : 친구의 아내 무삭제판,홍성수,"(주)영화사 사계절,마법사필름",,영화사 사계절,2017-03-28,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16307,스와핑 : 친구의 아내 2 무삭제,유해종,(주)영화사가을,,영화사가을,2018-11-20,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16308,스와핑 : 친구의 아내 3,최찬호,(주)영화사가을,,영화사가을,2021-04-12,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16309,스와핑 : 친구의 아내 3 무삭제,최찬호,(주)영화사가을,,영화사가을,2021-10-19,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16310,스와핑 : 형의 여자,최강호,(주)영화사가을,,영화사가을,2017-08-17,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16311,스와핑 : 형의 여자 무삭제판,최강호,(주)영화사가을,,영화사가을,2018-01-09,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16312,스와핑 : 2대1,조희운,(주)영화사가을,,영화사가을,2023-01-20,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16313,스와핑-초대된남과여,김감독,(주)더레드엔터테인먼트,,더레드엔터테인먼트,2021-04-13,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16314,스와핑:변태 부부,나가에 타카미,,,영진크리에이티브,2022-01-07,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16315,스와핑:비밀클럽,키타자와 유키오,,(주)영진크리에이티브,영진크리에이티브,2016-01-24,개봉영화,장편,일본,1,"10,000",1,멜로/로맨스,청소년관람불가,일반영화
16316,스와핑:아내가 다른 남자와 하고 있다,네지메 지로,,(주)영진크리에이티브,영진크리에이티브,2018-03-28,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16317,스와핑:욕구불만 형수,나쿠루 하라다,,(주)영진크리에이티브,영진크리에이티브,2018-08-16,개봉영화,장편,일본,1,"7,000",1,멜로/로맨스,청소년관람불가,일반영화
16318,스와핑: 교수와 제자들,이정,(주)소나무픽쳐스,,소나무픽쳐스,2019-04-17,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16319,스와핑: 교수와 제자들 - 감독판,이정,(주)소나무픽쳐스,,소나무픽쳐스,2019-09-10,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16320,스와핑_잘 못 배달된 영계,김모리,영화사 레드카펫,,주식회사 루믹스미디어,2022-05-16,개봉영화,장편,한국,1,"1,000",1,성인물(에로),청소년관람불가,일반영화
16321,스윙어:막장불륜멜로,,,(주)소나무픽쳐스,소나무픽쳐스,2019-12-09,개봉영화,장편,칠레,1,"5,000",1,코미디,청소년관람불가,일반영화
16322,스지보리:리얼 야쿠자,코바야시 유키,,,영진크리에이티브,2022-06-10,개봉영화,장편,일본,1,"6,000",1,액션,청소년관람불가,일반영화
16323,스카이라인: 라스트 워,리암 오도넬,,,영화사 안다미로,2021-03-08,개봉영화,장편,미국,1,"1,000",1,SF,15세이상관람가,독립/예술영화
16324,스캔들: 세 남녀,호리이 아야,,(주)영진크리에이티브,영진크리에이티브,2016-11-25,개봉영화,장편,일본,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16325,스코어 투 셔틀,숀 쿠,,(주)영화사 안다미로,영화사 안다미로,2019-12-05,개봉영화,장편,미국,1,"1,000",1,스릴러,15세이상관람가,일반영화
16326,스콜피온: 대테러 진압 작전,,,(주)소나무픽쳐스,소나무픽쳐스,2020-03-09,개봉영화,장편,우즈베키스탄,1,"5,000",1,액션,15세이상관람가,일반영화
16327,스타 차일드: 서투른 오디션,호리이 히카루,,(주)엘케이픽쳐스,엘케이픽쳐스,2016-04-07,개봉영화,장편,일본,1,"8,000",1,멜로/로맨스,청소년관람불가,일반영화
16328,스타킹 찢긴 유부녀의 속살,토리하마 히로시,,(주)영진크리에이티브,영진크리에이티브,2019-03-11,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16329,스타킹 : 그녀의 음모,윤수현,(주)라온컴퍼니플러스,,가온콘텐츠,2021-10-25,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16330,스타킹 : 그녀의 음모 무삭제판,윤수현,(주)라온컴퍼니플러스,,가온콘텐츠,2021-12-27,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16331,스태미나 일본 정식집,나베 아츠시,,(주)도키엔터테인먼트,도키엔터테인먼트,2019-06-08,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16332,스탠딩 업,D.J. 카루소,,(주)블루브릭,블루브릭,2015-09-24,개봉영화,장편,미국,1,"5,000",1,가족,12세이상관람가,일반영화
16333,스토커 1/2,리차드 킴,영화사 산들바람,,영화사 산들바람,2019-12-18,개봉영화,장편,한국,1,"1,000",1,성인물(에로),청소년관람불가,일반영화
16334,스토커 : 페르소나,리차드 킴,영화사 산들바람,,영화사 산들바람,2019-12-18,개봉영화,장편,한국,1,"1,000",1,성인물(에로),청소년관람불가,일반영화
16335,스토퀸 무삭제판,에로핑,(주)라온컴퍼니플러스,,가온콘텐츠,2021-10-18,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16336,스튜어디스 성감마사지,다케다 히데오,,(주)도키엔터테인먼트,도키엔터테인먼트,2017-04-06,개봉영화,장편,일본,1,"8,000",1,성인물(에로),청소년관람불가,일반영화
