순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
16351,스페셜 솔져,"브랜도 베네통,마리엘 우즈",,주식회사 풍경소리,주식회사 풍경소리,2019-10-16,개봉영화,장편,미국,1,"1,000",1,전쟁,15세이상관람가,일반영화
16352,스페셜 포스 vs 분노의 좀비,프랭크 라펠,,(주)도키엔터테인먼트,도키엔터테인먼트,2016-04-27,개봉영화,장편,독일,1,"8,000",1,액션,청소년관람불가,일반영화
16353,스페이스 인커밍,에릭 자라고자,,라온아이(주),라온아이,2019-01-10,개봉영화,장편,미국,1,"5,000",1,액션,15세이상관람가,일반영화
16354,스페인 배낭여행 연쇄살인사건,칼로스 호프레,,(주)알이디아이스엔터,알이디아이스엔터,2019-08-21,개봉영화,장편,스페인,1,"1,000",1,공포(호러),청소년관람불가,일반영화
16355,슬기로운 성생활,신세계,(주)씨맥스커뮤니케이션즈,,씨맥스커뮤니케이션즈,2023-01-06,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16356,슬기로운 섹스생활,알렉사 박,타히티 필름,,케이엘 픽쳐스,2022-02-24,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16357,슬기로운불륜생활-무삭제,전지원,(주)메이크아트,,메이크아트,2021-06-24,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16358,슬롯머신: 하나씩 벗기기,하뉴 켄지,,(주)모멘텀엔터테인먼트,모멘텀엔터테인먼트,2017-02-01,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16359,승진섹스,김종석,모히또필름,,컨텐츠 빌리지,2021-05-28,개봉영화,장편,한국,1,"1,000",1,멜로/로맨스,청소년관람불가,일반영화
16360,승진섹스 - 무삭제판,김종석,모히또필름,,컨텐츠 빌리지,2021-11-11,개봉영화,장편,한국,1,"1,000",1,멜로/로맨스,청소년관람불가,일반영화
16361,승진의 기술,송정규,,,나우콘텐츠,2020-08-28,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16362,승천하는 성감마사지,후지모리 타쿠야,,(주)도키엔터테인먼트,도키엔터테인먼트,2019-10-07,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16363,승하의 벗방,이로운,(주)영화사히트,,영화사히트,2021-06-09,개봉영화,장편,한국,1,"5,000",1,드라마,청소년관람불가,일반영화
16364,시간위의 집 디 오리지널,알레한드로 히달고,,브릿지웍스 엔터테인먼트(주),노바엔터테인먼트,2017-11-30,개봉영화,장편,베네수엘라,1,"6,000",1,공포(호러),15세이상관람가,독립/예술영화
16365,시누이의 맛,최정자,주식회사 플릭스코,,주식회사 플릭스코,2020-06-12,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16366,시니스터 스쿼드,제레미 M. 인맨,,(주)케이알씨지,케이알씨지,2018-12-16,개봉영화,장편,미국,1,"1,000",1,액션,15세이상관람가,일반영화
16367,시동걸린 욕정,나기라 겐조,,,라온컴퍼니플러스,2022-04-01,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16368,시동걸린 욕정 무삭제판,나기라 겐조,,,라온컴퍼니플러스,2022-07-27,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16369,시럽,아람 라파포트,,(주)티에스앤컴퍼니,티에스앤컴퍼니,2015-10-15,개봉영화,장편,미국,1,"5,000",1,코미디,15세이상관람가,일반영화
16370,시미켄의 촬영 강의,,,(주)빅콘미디어,빅콘미디어,2020-06-09,개봉영화,장편,일본,1,"6,000",1,기타,청소년관람불가,일반영화
16371,시부야 갸루걸 실신마사지,드래곤 니시카와,,(주)도키엔터테인먼트,도키엔터테인먼트,2018-05-03,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16372,시수옥:감금된 소녀들 파트1,조조 히데오,,위드 라이언 픽쳐스,위드 라이언 픽쳐스,2017-09-06,개봉영화,장편,일본,1,"2,000",1,공포(호러),청소년관람불가,일반영화
16373,시수옥:감금된 소녀들 파트2,조조 히데오,,위드 라이언 픽쳐스,위드 라이언 픽쳐스,2017-10-23,개봉영화,장편,일본,1,"5,000",1,공포(호러),청소년관람불가,일반영화
16374,시아버지 유혹한 스타킹,,,,픽쳐레스크,2021-09-10,개봉영화,장편,일본,1,"1,000",1,멜로/로맨스,청소년관람불가,일반영화
16375,시아버지:며느리의 간호,레이 오자키,,(주)영진크리에이티브,영진크리에이티브,2018-02-07,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16376,시아버지:속궁합이 궁금해,버드맨 텟페이,,(주)영진크리에이티브,영진크리에이티브,2020-02-01,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16377,시아버지가 내 안에 들어온 날,최찬호,(주)영화사가을,,영화사가을,2022-05-07,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16378,시아버지가 내 안에 들어온 날 무삭제,최찬호,(주)영화사가을,,영화사가을,2022-10-23,개봉영화,장편,한국,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16379,시아버지는 음란 마초,후지모토 죠지,,(주)영진크리에이티브,영진크리에이티브,2018-12-10,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16380,시아버지와 두 며느리,김민식,(주)영화사가을,,영화사가을,2017-02-02,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16381,시아버지와 두 며느리 무삭제판,김민식,(주)영화사가을,,영화사가을,2017-09-21,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16382,시아버지와 두 며느리 2,정완경,(주)영화사가을,,영화사가을,2019-07-17,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16383,시아버지와 두 며느리 2 무삭제,정완경,(주)영화사가을,,영화사가을,2019-09-10,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16384,시아버지와 며느리,사노 B사쿠,,(주)영진크리에이티브,영진크리에이티브,2019-12-18,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16385,시아버지와 며느리:참을 수 없는 날,키무라 히로유키,,(주)영진크리에이티브,영진크리에이티브,2018-07-25,개봉영화,장편,일본,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16386,시아버지와 젊은 며느리들,이진,제이투프로덕션,,소나무픽쳐스,2020-01-23,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16387,시아버지와 착한 며느리,최민현,(주)영화사가을,,영화사가을,2020-04-29,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16388,시아버지의 며느리 발정 케어 서비스,드래곤 니시카와,,,코빈커뮤니케이션즈,2022-12-16,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16389,시아버지의 여자,오자키 히로코우지,,(주)플라이어,플라이어,2020-02-06,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16390,시아버지의 여자-무삭제판,오자키 히로코우지,,(주)플라이어,플라이어,2020-05-21,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16391,시아버지의 욕정,오자키 히로코우지,,(주)플라이어,플라이어,2018-11-30,개봉영화,장편,일본,1,"6,000",1,드라마,청소년관람불가,일반영화
16392,시아버지의 유혹,잠파,,(주)플라이어,플라이어,2019-09-27,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16393,시아버지의 일침,,,비스킷미디어,인포투스,2020-02-18,개봉영화,장편,일본,1,"1,000",1,성인물(에로),청소년관람불가,일반영화
16394,시아버지의 자매 복숭아 맛보기,카토 요시카즈,,(주)도키엔터테인먼트,도키엔터테인먼트,2017-04-06,개봉영화,장편,일본,1,"8,000",1,성인물(에로),청소년관람불가,일반영화
16395,시아버지의 탐욕,,,,픽쳐레스크,2021-10-18,개봉영화,장편,일본,1,"1,000",1,멜로/로맨스,청소년관람불가,일반영화
16396,시아버지의 환상,긴다이치 코고로,,(주)플라이어,플라이어,2017-01-10,개봉영화,장편,일본,1,"8,000",1,드라마,청소년관람불가,일반영화
16397,시아의 몽정기-무삭제,김다니엘,스마일컨텐츠,,스마일컨텐츠,2018-09-07,개봉영화,장편,한국,1,"5,000",1,멜로/로맨스,청소년관람불가,일반영화
16398,시원하게 물 빼주는 제수씨,디렉터 O,,,영진크리에이티브,2022-10-11,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16399,시월드 무삭제,한우리,(주)메이크아트,,메이크아트,2019-12-27,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16400,시즈닝 하우스,폴 하이엣,,주식회사 루믹스미디어,주식회사 루믹스미디어,2016-01-21,개봉영화,장편,영국,1,"5,000",1,스릴러,청소년관람불가,일반영화
16401,시진5,,,,주식회사 플릭스코,2020-12-15,개봉영화,장편,미국,1,"6,000",1,공포(호러),청소년관람불가,일반영화
16402,시크릿 웨폰,,,(주)소나무픽쳐스,소나무픽쳐스,2019-11-05,개봉영화,장편,러시아,1,"5,000",1,전쟁,15세이상관람가,독립/예술영화
16403,시크릿 파트너스,안드레 고든,,주식회사 레드아이스,주식회사 레드아이스,2018-04-30,개봉영화,장편,미국,1,"1,000",1,스릴러,청소년관람불가,일반영화
16404,시크릿 홈비디오,,,,픽쳐레스크,2023-01-26,개봉영화,장편,캐나다,1,"1,000",1,성인물(에로),청소년관람불가,일반영화
16405,시트적신 여기사 무삭제판,나기라 겐조,,,라온컴퍼니플러스,2022-05-01,개봉영화,장편,일본,1,"6,000",1,성인물(에로),청소년관람불가,일반영화
16406,시티 오브 데드,덴 리카드,,주식회사 레드아이스,주식회사 레드아이스,2016-12-23,개봉영화,장편,영국,1,"5,000",1,액션,15세이상관람가,일반영화
16407,식모: 머피의 법칙-확장판,노현진,제리맥스튜디오,,나우콘텐츠,2020-02-25,개봉영화,장편,한국,1,"6,000",1,멜로/로맨스,청소년관람불가,일반영화
16408,식모: 아내의 친구-비하인드,노현진,(주)나우콘텐츠,,나우콘텐츠,2019-12-27,개봉영화,장편,한국,1,"1,000",1,멜로/로맨스,청소년관람불가,일반영화
16409,식스센스:속 보이는 여자들,왕지방,(주)메이크아트,,메이크아트,2020-06-12,개봉영화,장편,한국,1,"6,000",1,드라마,청소년관람불가,일반영화
