,영화명,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,감독
4104,모놀리스,이언픽쳐스,2017-04-20,장편,기타,62,13327600,1732,드라마,12세관람가,독립/예술영화,이반 실베스트리니
4109,오버드라이브,(주)영화사오원,2017-12-14,장편,프랑스,62,12853100,1675,액션,15세관람가,독립/예술영화,안토니오 니그렛
4110,히든,(주)박수엔터테인먼트,2022-05-25,장편,한국,51,12574990,1671,액션,15세관람가,일반영화,한종훈
4113,리볼버,(주)제이앤씨미디어그룹,2022-08-18,장편,영국,67,15564500,1597,범죄,15세관람가,독립/예술영화,가이 리치
4115,전야,(주)이놀미디어,2021-06-03,장편,한국,55,13493800,1568,액션,청소년관람불가,일반영화,김상민
4116,분노의 추격자,와이드 릴리즈(주),2022-11-03,장편,미국,85,14473299,1564,액션,15세관람가,일반영화,브라이언 굿맨
4117,맘&대드,(주)박수엔터테인먼트,2018-07-18,장편,미국,52,12272600,1549,공포(호러),15세관람가,독립/예술영화,브라이언 테일러
4121,스푸트닉,(주)제이앤씨미디어그룹,2021-02-04,장편,기타,83,12460640,1492,SF,15세관람가,일반영화,기타
4125,아이 빌리브,(재)CBS,2020-11-05,장편,미국,75,11757600,1433,드라마,전체관람가,일반영화,기타
4126,블랙 사이트,주식회사 블루필름웍스,2022-11-02,장편,기타,96,14120699,1420,액션,15세관람가,일반영화,기타
4131,아웃사이더,(주)영화사오원,2020-04-02,장편,기타,96,11027280,1355,기타,청소년관람불가,독립/예술영화,가한진
4134,하이 스트렁,(주)영화사 진진,2018-01-04,장편,미국,66,9281500,1303,드라마,12세관람가,독립/예술영화,마이클 데미언
4135,어트랙션,(주)이수C&E,2020-09-17,장편,독일,101,10807570,1286,드라마,12세관람가,독립/예술영화,만스 말린드
4136,섀도우 클라우드,(주)제이앤씨미디어그룹,2021-04-22,장편,미국,71,11512140,1282,SF,15세관람가,일반영화,기타
4137,엠티맨,월트디즈니컴퍼니코리아 유한책임회사,2020-11-19,장편,미국,100,11314120,1266,공포(호러),15세관람가,일반영화,기타
