,0,1,2,3,4,5,6,7
60,67,차이나타운,https://movie.naver.com/movie/bi/mi/basic.nhn?code=124041,https://ssl.pstatic.net/imgmovie/mdi/mit110/1240/124041_P63_143455.jpg,2014,['한준희'],"['김혜수', '김고은', '엄태구']",6.97
61,68,잃어버린 세계를 찾아서,https://movie.naver.com/movie/bi/mi/basic.nhn?code=61433,https://ssl.pstatic.net/imgmovie/mdi/mit110/0614/F1433-01.jpg,2008,['에릭 브레빅'],"['브렌든 프레이저', '조쉬 허처슨']",7.84
62,69,보이스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=190320,https://ssl.pstatic.net/imgmovie/mdi/mit110/1903/190320_P44_100537.jpg,2021,"['김선', '김곡']","['변요한', '김무열', '김희원', '박명훈']",8.40
63,71,폼페이: 최후의 날,https://movie.naver.com/movie/bi/mi/basic.nhn?code=110332,https://ssl.pstatic.net/imgmovie/mdi/mit110/1103/110332_P32_103100.jpg,2014,['폴 앤더슨'],"['키트 해링턴', '에밀리 브라우닝', '캐리 앤 모스', '키퍼 서덜랜드']",7.46
64,72,퓨리,https://movie.naver.com/movie/bi/mi/basic.nhn?code=107928,https://ssl.pstatic.net/imgmovie/mdi/mit110/1079/107928_P18_113902.jpg,2014,['데이비드 에이어'],"['브래드 피트', '로건 레먼', '샤이아 라보프']",8.70
65,73,트와일라잇,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47229,https://ssl.pstatic.net/imgmovie/mdi/mit110/0472/47229_P85_114456.jpg,2008,['캐서린 하드윅'],"['크리스틴 스튜어트', '로버트 패틴슨']",7.93
66,74,궁합,https://movie.naver.com/movie/bi/mi/basic.nhn?code=141206,https://ssl.pstatic.net/imgmovie/mdi/mit110/1412/141206_P30_121806.jpg,2018,['홍창표'],"['심은경', '이승기']",6.45
67,77,생일,https://movie.naver.com/movie/bi/mi/basic.nhn?code=174050,https://ssl.pstatic.net/imgmovie/mdi/mit110/1740/174050_P32_172314.jpg,2018,['이종언'],"['설경구', '전도연']",7.29
68,79,하루,https://movie.naver.com/movie/bi/mi/basic.nhn?code=152168,https://ssl.pstatic.net/imgmovie/mdi/mit110/1521/152168_P24_101722.jpg,2017,['조선호'],"['김명민', '변요한', '유재명']",7.05
69,80,가디언즈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=87308,https://ssl.pstatic.net/imgmovie/mdi/mit110/0873/87308_P38_113704.jpg,2012,['피터 램지'],"['크리스 파인', '알렉 볼드윈', '주드 로', '아일라 피셔', '휴 잭맨', '다코타 고요', '양세나']",9.18
70,83,그놈이다,https://movie.naver.com/movie/bi/mi/basic.nhn?code=134960,https://ssl.pstatic.net/imgmovie/mdi/mit110/1349/134960_P29_103603.jpg,2015,['윤준형'],"['주원', '유해진', '이유영']",6.91
71,84,동창생,https://movie.naver.com/movie/bi/mi/basic.nhn?code=95515,https://ssl.pstatic.net/imgmovie/mdi/mit110/0955/95515_P32_104005.jpg,2013,['박홍수'],"['T.O.P', '한예리', '윤제문', '조성하', '김유정']",7.30
72,86,맨 인 더 다크,https://movie.naver.com/movie/bi/mi/basic.nhn?code=144944,https://ssl.pstatic.net/imgmovie/mdi/mit110/1449/144944_P10_153743.jpg,2016,['페데 알바레즈'],"['제인 레비', '딜런 미네트', '스티븐 랭']",7.92
73,87,바보,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93682,https://ssl.pstatic.net/imgmovie/mdi/mit110/0936/93682_P01_111245.jpg,2010,['카네코 슈스케'],"['나리미야 히로키', '우치다 유키']",7.58
74,87,바보,https://movie.naver.com/movie/bi/mi/basic.nhn?code=35623,https://ssl.pstatic.net/imgmovie/mdi/mit110/0356/C5623-01.jpg,2008,['김정권'],"['차태현', '하지원']",8.06
75,88,백야행,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83095,https://ssl.pstatic.net/imgmovie/mdi/mit110/0830/83095_P03_143751.jpg,2010,['후카가와 요시히로'],"['호리키타 마키', '코라 켄고', '후나코시 에이이치로']",6.82
76,89,크로싱,https://movie.naver.com/movie/bi/mi/basic.nhn?code=46494,https://ssl.pstatic.net/imgmovie/mdi/mit110/0464/D6494-00.jpg,2008,['김태균'],"['차인표', '신명철']",9.03
77,90,그것,https://movie.naver.com/movie/bi/mi/basic.nhn?code=154668,https://ssl.pstatic.net/imgmovie/mdi/mit110/1546/154668_P07_101413.jpg,2017,['안드레스 무시에티'],"['빌 스카스가드', '제이든 마텔']",6.92
78,95,손님,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122984,https://ssl.pstatic.net/imgmovie/mdi/mit110/1229/122984_P53_155816.jpg,2015,['김광태'],"['류승룡', '이성민', '천우희', '이준']",6.48
79,96,스피드 레이서,https://movie.naver.com/movie/bi/mi/basic.nhn?code=67075,https://ssl.pstatic.net/imgmovie/mdi/mit110/0670/F7075-00.jpg,2008,"['릴리 워쇼스키', '라나 워쇼스키']","['에밀 허쉬', '크리스티나 리치', '존 굿맨', '수잔 서랜든']",7.53
80,97,볼트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=47411,https://ssl.pstatic.net/imgmovie/mdi/mit110/0474/D7411-00.jpg,2008,"['바이론 하워드', '크리스 윌리엄스']","['존 트라볼타', '마일리 사이러스', '수지 에스먼', '마크 월튼']",9.04
81,98,더 파이브,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93727,https://ssl.pstatic.net/imgmovie/mdi/mit110/0937/93727_P74_181946.jpg,2013,['정연식'],"['김선아', '온주완', '마동석', '신정근', '정인기', '이청아', '박효주']",6.13
82,99,푸시,https://movie.naver.com/movie/bi/mi/basic.nhn?code=50407,https://ssl.pstatic.net/imgmovie/mdi/mit110/0504/E0407-00.jpg,2009,['폴 맥기건'],"['크리스 에반스', '다코타 패닝', '카밀라 벨', '클리프 커티스', '디몬 하운수']",6.75
83,100,신데렐라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=101963,https://ssl.pstatic.net/imgmovie/mdi/mit110/1019/101963_P81_161707.jpg,2015,['케네스 브래너'],"['릴리 제임스', '리차드 매든', '케이트 블란쳇', '헬레나 본햄 카터', '홀리데이 그레인저', '소피 맥쉐라']",8.37
84,101,고질라,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100987,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100987_P12_173359.jpg,2014,['가렛 에드워즈'],"['애런 존슨', '브라이언 크랜스톤', '엘리자베스 올슨']",6.68
85,103,스위니 토드: 어느 잔혹한 이발사 이야기,https://movie.naver.com/movie/bi/mi/basic.nhn?code=62838,https://ssl.pstatic.net/imgmovie/mdi/mit110/0628/F2838-01.jpg,2007,['팀 버튼'],"['조니 뎁', '헬레나 본햄 카터']",7.35
