순번,영화명,네이버URL,이미지URL,연도,감독,출연,평점
49,살인 소설,https://movie.naver.com/movie/bi/mi/basic.nhn?code=92415,https://ssl.pstatic.net/imgmovie/mdi/mit110/0924/92415_P19_160649.jpg,2012,['스콧 데릭슨'],['에단 호크'],7.14
50,워,https://movie.naver.com/movie/bi/mi/basic.nhn?code=60526,https://ssl.pstatic.net/imgmovie/mdi/mit110/0605/F0526-01.jpg,2007,['필립 G. 아트웰'],"['이연걸', '제이슨 스타뎀']",7.25
51,비밀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=151327,https://ssl.pstatic.net/imgmovie/mdi/mit110/1513/151327_P01_154735.jpg,2016,['이아린'],"['조병규', '김윤지', '전성일']",10.00
52,우리들,https://movie.naver.com/movie/bi/mi/basic.nhn?code=146504,https://ssl.pstatic.net/imgmovie/mdi/mit110/1465/146504_P18_134446.jpg,2015,['윤가은'],"['최수인', '설혜인', '이서연', '강민준']",9.29
53,심야식당2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=156091,https://ssl.pstatic.net/imgmovie/mdi/mit110/1560/156091_P11_152424.jpg,2016,['마츠오카 조지'],['코바야시 카오루'],8.54
54,19,https://movie.naver.com/movie/bi/mi/basic.nhn?code=53723,https://ssl.pstatic.net/imgmovie/mdi/mit110/0537/53723_P04_110334.jpg,2009,['장용우'],"['T.O.P', '승리', '허이재']",7.84
55,"옵스큐어 나이트 - 와일드 리브스 (더 버닝 원스, 더 옵스티네이트)",https://movie.naver.com/movie/bi/mi/basic.nhn?code=219191,https://ssl.pstatic.net/imgmovie/mdi/mit110/2191/219191_P01_201606.jpg,2022,['실뱅 조지'],,0.00
56,개들의 전쟁,https://movie.naver.com/movie/bi/mi/basic.nhn?code=83960,https://ssl.pstatic.net/imgmovie/mdi/mit110/0839/83960_P34_173120.jpg,2012,['조병옥'],"['김무열', '진선규']",7.32
57,라이프,https://movie.naver.com/movie/bi/mi/basic.nhn?code=122494,https://ssl.pstatic.net/imgmovie/mdi/mit110/1224/122494_P12_120029.jpg,2015,['안톤 코르빈'],"['로버트 패틴슨', '데인 드한', '조엘 에저튼', '알레산드라 마스트로나르디', '벤 킹슬리', '피터 루카스']",7.73
58,퍼펙트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=97823,https://ssl.pstatic.net/imgmovie/mdi/mit110/0978/97823_P37_150922.jpg,2013,['닐스 아르덴 오플레브'],"['콜린 파렐', '누미 라파스', '테렌스 하워드']",6.96
59,크리드 2,https://movie.naver.com/movie/bi/mi/basic.nhn?code=163798,https://ssl.pstatic.net/imgmovie/mdi/mit110/1637/163798_P02_154522.jpg,2018,['스티븐 카플 주니어'],"['마이클 B. 조던', '실베스터 스탤론']",8.68
60,나이트 폴,https://movie.naver.com/movie/bi/mi/basic.nhn?code=93068,https://ssl.pstatic.net/imgmovie/mdi/mit110/0930/93068_P24_140414.jpg,2012,['주현량'],"['장가휘', '임달화']",8.06
61,베르테르,https://movie.naver.com/movie/bi/mi/basic.nhn?code=201852,,2020,['조광화'],,0.00
62,드래곤 프린세스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=175325,https://ssl.pstatic.net/imgmovie/mdi/mit110/1753/175325_P10_114214.jpg,2018,['알트욤 루키체프'],,4.67
63,블러드타이즈,https://movie.naver.com/movie/bi/mi/basic.nhn?code=100984,https://ssl.pstatic.net/imgmovie/mdi/mit110/1009/100984_P30_100418.jpg,2013,['기욤 까네'],"['마리옹 꼬띠아르', '밀라 쿠니스', '클라이브 오웬', '조 샐다나', '빌리 크루덥']",7.81
64,미스 프레지던트,https://movie.naver.com/movie/bi/mi/basic.nhn?code=162420,https://ssl.pstatic.net/imgmovie/mdi/mit110/1624/162420_P09_133417.jpg,2017,['김재환'],,6.44
65,5 to 7,https://movie.naver.com/movie/bi/mi/basic.nhn?code=104373,https://ssl.pstatic.net/imgmovie/mdi/mit110/1043/104373_P03_141633.jpg,2014,['빅터 레빈'],"['안톤 옐친', '베레니스 말로에']",8.07
66,카운터스,https://movie.naver.com/movie/bi/mi/basic.nhn?code=168669,https://ssl.pstatic.net/imgmovie/mdi/mit110/1686/168669_P18_101914.jpg,2017,['이일하'],,9.46
67,내가 처음으로 사랑한 소녀,https://movie.naver.com/movie/bi/mi/basic.nhn?code=213628,https://ssl.pstatic.net/imgmovie/mdi/mit110/2136/213628_P11_170758.jpg,2021,"['양조개', '오영산']",,8.42
