,영화명,감독,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절
1894,베일리 어게인,라세 할스트롬,(주)홈초이스,2018-11-22,장편,미국,189,796864900,93691,어드벤처,전체관람가,독립/예술영화,2018,11,가을
1895,귀문,심덕근,씨제이 씨지브이(CJ CGV)(주),2021-08-25,장편,한국,692,799806070,93656,미스터리,15세관람가,일반영화,2021,8,여름
1896,스텔라,권수경,씨제이 씨지브이(CJ CGV)(주),2022-04-06,장편,한국,690,848799300,93504,코미디,15세관람가,일반영화,2022,4,봄
1897,프리스트,스콧 찰스 스튜어트,한국소니픽쳐스릴리징브에나비스타영화㈜,2011-06-09,장편,미국,228,839493000,93336,액션,15세관람가,일반영화,2011,6,여름
1898,러브 앳,위고 젤랭,(주)크리픽쳐스,2019-11-27,장편,프랑스,153,746898500,93311,멜로/로맨스,12세관람가,일반영화,2019,11,가을
1899,원피스 극장판 Z,나가미네 타츠야,(주)씨제이이엔엠,2013-03-21,장편,일본,267,626891000,93239,애니메이션,전체관람가,일반영화,2013,3,봄
1900,써티 데이즈 오브 나이트,데이빗 슬레이드,㈜케이디미디어,2008-01-10,장편,미국,122,623841500,93191,공포(호러),청소년관람불가,일반영화,2008,1,겨울
1901,프렌치 디스패치,웨스 앤더슨,월트디즈니컴퍼니코리아 유한책임회사,2021-11-18,장편,미국,273,998413830,93116,코미디,15세관람가,독립/예술영화,2021,11,가을
1902,태풍이 지나가고,고레에다 히로카즈,(주)티캐스트,2016-07-27,장편,일본,72,772484972,93005,드라마,12세관람가,독립/예술영화,2016,7,여름
1903,루이스,울프강 라우엔슈타인,(주)스마일이엔티,2018-09-20,장편,독일,325,729147750,93000,애니메이션,전체관람가,독립/예술영화,2018,9,가을
1904,본 투 비 블루,로버트 뷔드로,그린나래미디어(주),2016-06-09,장편,기타,147,755724082,92729,드라마,청소년관람불가,독립/예술영화,2016,6,여름
1905,파이브 피트,저스틴 밸도니,(주)누리픽쳐스,2019-04-10,장편,미국,457,805051420,92713,드라마,15세관람가,일반영화,2019,4,봄
1906,7번째 아들,세르게이 보드로프,유니버설픽쳐스인터내셔널 코리아(유),2015-02-11,장편,미국,358,729980451,92598,어드벤처,12세관람가,일반영화,2015,2,겨울
1907,샤크 나이트 3D,데이비드 R. 엘리스,(주)화앤담이엔티,2011-09-15,장편,미국,239,855047000,92505,스릴러,15세관람가,일반영화,2011,9,가을
1908,철가방 우수氏,윤학렬,(주)씨제이이엔엠,2012-11-22,장편,한국,119,604032500,92404,드라마,12세관람가,독립/예술영화,2012,11,가을
1909,크리미널,아리엘 브로멘,(주)영화사 빅,2016-06-22,장편,영국,351,738985181,92358,액션,15세관람가,독립/예술영화,2016,6,여름
1910,구스 베이비,크리스토퍼 젠킨스,(주)이수C&E,2019-01-16,장편,미국,424,652090360,91430,애니메이션,전체관람가,일반영화,2019,1,겨울
1911,그 남자의 책 198쪽,김정권,(주)성원아이컴,2008-10-23,장편,한국,220,575174333,91387,멜로/로맨스,12세관람가,일반영화,2008,10,가을
1912,패솔로지,마크 쉬홀르만,롯데쇼핑㈜롯데엔터테인먼트,2008-04-17,장편,미국,136,569157500,91253,공포(호러),청소년관람불가,일반영화,2008,4,봄
1913,포커스,글렌 피카라,워너브러더스 코리아(주),2015-02-26,장편,미국,349,702878700,91164,코미디,15세관람가,일반영화,2015,2,겨울
1914,마마,안드레스 무시에티,유니버설픽쳐스인터내셔널 코리아(유),2013-01-23,장편,미국,164,662161500,91143,공포(호러),15세관람가,일반영화,2013,1,겨울
1915,타워 하이스트,브렛 래트너,유니버설픽쳐스인터내셔널 코리아(유),2011-11-17,장편,미국,213,631715500,90840,액션,12세관람가,일반영화,2011,11,가을
