,영화명,감독,배급사,개봉일,영화형태,국적,전국스크린수,전국 매출액,전국 관객수,장르,등급,영화구분,연도,월,계절
1777,바디,파윈 푸리킷판야,㈜케이디미디어,2008-05-29,장편,기타,160,716431000,110686,공포(호러),15세관람가,일반영화,2008,5,봄
1778,교회오빠,이호경,커넥트픽쳐스(주),2019-05-16,장편,한국,200,879140710,110512,다큐멘터리,전체관람가,독립/예술영화,2019,5,봄
1779,조조 래빗,타이카 와이티티,월트디즈니컴퍼니코리아 유한책임회사,2020-02-05,장편,미국,277,948260200,109913,코미디,12세관람가,독립/예술영화,2020,2,겨울
1780,캣츠 앤 독스 2,브래드 페이튼,워너브러더스 코리아(주),2010-09-16,장편,미국,161,810563678,109667,가족,전체관람가,일반영화,2010,9,가을
1781,당갈,니테쉬 티와리,(주)넥스트엔터테인먼트월드(NEW),2018-04-25,장편,기타,260,906416500,109441,액션,12세관람가,독립/예술영화,2018,4,봄
1782,프로포즈 데이,아넌드 터커,유니버설픽쳐스인터내셔널 코리아(유),2010-04-08,장편,미국,149,826704936,109313,멜로/로맨스,12세관람가,일반영화,2010,4,봄
1783,언더워터,윌리엄 유뱅크,월트디즈니컴퍼니코리아 유한책임회사,2020-05-27,장편,미국,594,937112800,109207,스릴러,15세관람가,일반영화,2020,5,봄
1784,걸프렌즈,강석범,(주)넥스트엔터테인먼트월드(NEW),2009-12-17,장편,한국,244,787235297,109195,멜로/로맨스,15세관람가,일반영화,2009,12,겨울
1785,더 콘서트,라두 미하일레아누,유니버설픽쳐스인터내셔널 코리아(유),2010-11-25,장편,프랑스,130,784912681,109160,드라마,전체관람가,독립/예술영화,2010,11,가을
1786,피터와 드래곤,데이빗 로워리,월트디즈니컴퍼니코리아(주),2016-09-28,장편,미국,167,865600600,109137,어드벤처,전체관람가,일반영화,2016,9,가을
1787,미운 오리 새끼의 모험,마이클 헤그너,(주)드림팩트엔터테인먼트,2008-04-03,장편,프랑스,70,618379000,109094,애니메이션,전체관람가,일반영화,2008,4,봄
1788,히트,이성한,(주)넥스트엔터테인먼트월드(NEW),2011-10-13,장편,한국,171,771023500,109019,드라마,15세관람가,일반영화,2011,10,가을
1789,디어 에반 핸슨,스티븐 크보스키,유니버설픽쳐스인터내셔널 코리아(유),2021-11-17,장편,미국,631,1082054550,109001,뮤지컬,12세관람가,일반영화,2021,11,가을
1790,베이블레이드 버스트 갓 : 갓 발키리의 탄생,야마구치 켄타로,(주)씨제이이엔엠,2017-06-01,장편,일본,198,823353500,108896,애니메이션,전체관람가,일반영화,2017,6,여름
1791,할로윈,데이빗 고든 그린,유니버설픽쳐스인터내셔널 코리아(유),2018-10-31,장편,미국,536,891158713,108780,공포(호러),청소년관람불가,일반영화,2018,10,가을
1792,21,로버트 루케틱,한국소니픽쳐스릴리징브에나비스타영화㈜,2008-06-19,장편,미국,64,730776100,108648,범죄,15세관람가,일반영화,2008,6,여름
1793,맨 프롬 UNCLE,가이 리치,워너브러더스 코리아(주),2015-10-28,장편,미국,361,846390353,108551,액션,12세관람가,일반영화,2015,10,가을
1794,람보 4 : 라스트 블러드,실베스터 스탤론,(주)스튜디오이쩜영,2008-02-28,장편,미국,196,696504500,108473,액션,청소년관람불가,일반영화,2008,2,겨울
1795,레드 스패로,프란시스 로렌스,이십세기폭스코리아(주),2018-02-28,장편,미국,389,860743700,108344,스릴러,청소년관람불가,일반영화,2018,2,겨울
1796,디바,조슬예,플러스엠 엔터테인먼트,2020-09-23,장편,한국,831,901717350,108122,스릴러,15세관람가,일반영화,2020,9,가을
1797,더 기버: 기억전달자,필립 노이스,(주)지어소프트,2014-08-20,장편,미국,233,814330000,107567,SF,12세관람가,독립/예술영화,2014,8,여름
1798,더 건맨,피에르 모렐,롯데쇼핑㈜롯데엔터테인먼트,2015-04-16,장편,프랑스,349,833925965,107444,액션,청소년관람불가,일반영화,2015,4,봄
1799,제로 다크 서티,캐서린 비글로우,(주)에스비에스콘텐츠허브,2013-03-07,장편,미국,258,765247500,107104,전쟁,15세관람가,일반영화,2013,3,봄
1800,로켓맨,덱스터 플레처,롯데컬처웍스(주)롯데엔터테인먼트,2019-06-05,장편,영국,640,918989063,106834,드라마,15세관람가,일반영화,2019,6,여름
1801,도희야,정주리,CGV아트하우스,2014-05-22,장편,한국,310,830948100,106511,드라마,청소년관람불가,독립/예술영화,2014,5,봄
1802,우리가 꿈꾸는 기적: 인빅터스,클린트 이스트우드,워너브러더스 코리아(주),2010-03-04,장편,미국,121,784134225,106443,드라마,전체관람가,일반영화,2010,3,봄
1803,프리덤,피터 쿠센스,주식회사 마운틴픽쳐스,2015-11-19,장편,미국,117,737817100,106241,드라마,12세관람가,독립/예술영화,2015,11,가을
1804,미드나이트,권오승,씨제이 씨지브이(CJ CGV)(주),2021-06-30,장편,한국,693,928954870,106012,스릴러,15세관람가,일반영화,2021,6,여름
1805,웨이 백,피터 위어,(주)쇼박스,2011-03-17,장편,미국,175,776193500,105925,드라마,12세관람가,일반영화,2011,3,봄
1806,더 시그널,윌리엄 유뱅크,롯데쇼핑㈜롯데엔터테인먼트,2014-07-09,장편,미국,263,809982328,105818,SF,12세관람가,일반영화,2014,7,여름
1807,공주와 개구리,론 클레멘츠,한국소니픽쳐스릴리징브에나비스타영화㈜,2010-01-21,장편,미국,81,716485106,105654,애니메이션,전체관람가,일반영화,2010,1,겨울
1808,바람이 분다,미야자키 하야오,롯데쇼핑㈜롯데엔터테인먼트,2013-09-05,장편,일본,288,741722500,105650,애니메이션,전체관람가,일반영화,2013,9,가을
1809,스마일,파커 핀,롯데컬처웍스(주)롯데엔터테인먼트,2022-10-06,장편,미국,455,1122947658,105500,미스터리,청소년관람불가,일반영화,2022,10,가을
1810,니드 포 스피드,스캇 워프,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),2014-04-16,장편,미국,349,835859900,105340,액션,15세관람가,일반영화,2014,4,봄
1811,신부들의 전쟁,게리 위닉,이십세기폭스코리아(주),2009-04-02,장편,미국,207,686671367,105202,코미디,12세관람가,일반영화,2009,4,봄
1812,스타워즈 : 클론 전쟁,데이브 필로니,워너브러더스 코리아(주),2008-09-04,장편,미국,211,646062000,105151,애니메이션,전체관람가,일반영화,2008,9,가을
1813,미래의 미라이,호소다 마모루,플러스엠 엔터테인먼트,2019-01-16,장편,일본,508,850022957,104950,애니메이션,전체관람가,일반영화,2019,1,겨울
1814,라스트 엑소시즘,다니엘 스탬,(주)시너지하우스 (시너지),2010-12-01,장편,미국,171,734954077,104936,공포(호러),15세관람가,일반영화,2010,12,겨울
1815,허밍,박대영,롯데쇼핑㈜롯데엔터테인먼트,2008-03-13,장편,한국,167,640923000,104850,멜로/로맨스,12세관람가,일반영화,2008,3,봄
1816,5백만불의 사나이,김익로,(주)씨제이이엔엠,2012-07-19,장편,한국,331,739789500,104736,코미디,15세관람가,일반영화,2012,7,여름
1817,인사이드 르윈,에단 코엔,블루미지,2014-01-29,장편,미국,70,808287200,104601,드라마,15세관람가,독립/예술영화,2014,1,겨울
1818,블러드,크리스 나흔,(주)싸이더스,2009-06-11,장편,기타,229,701370482,103918,액션,청소년관람불가,일반영화,2009,6,여름
1819,킹 오브 프리즘 (바이 프리티 리듬),히시다 마사카즈,(주)박수엔터테인먼트,2016-08-11,장편,일본,53,859771500,103852,애니메이션,12세관람가,일반영화,2016,8,여름
1820,꿈은 이루어진다,계윤식,CJ ENM,2010-05-27,장편,한국,222,730581233,103627,코미디,15세관람가,일반영화,2010,5,봄
1821,베리 굿 걸,나오미 포너,(주)영화사 빅,2014-09-25,장편,미국,338,777703345,103625,멜로/로맨스,15세관람가,독립/예술영화,2014,9,가을
1822,다이버전트 시리즈: 얼리전트,로베르트 슈벤트케,(주)키다리이엔티,2016-05-12,장편,미국,393,818883545,103554,액션,12세관람가,일반영화,2016,5,봄
1823,저 산 너머,최종태,(주)리틀빅픽쳐스,2020-04-30,장편,한국,468,772685300,103534,드라마,12세관람가,일반영화,2020,4,봄
1824,기기괴괴 성형수,조경훈,(주)트리플픽쳐스,2020-09-09,장편,한국,276,871629560,103251,공포(호러),15세관람가,독립/예술영화,2020,9,가을
1825,람보 : 라스트 워,애드리언 그런버그,TCO(주)더콘텐츠온,2019-10-23,장편,미국,483,800099140,103199,액션,청소년관람불가,일반영화,2019,10,가을
1826,더 테이블,김종관,(주)엣나인필름,2017-08-24,장편,한국,272,830762100,103054,드라마,12세관람가,독립/예술영화,2017,8,여름
1827,공포의 묘지,데니스 위드미어,롯데컬처웍스(주)롯데엔터테인먼트,2019-04-10,장편,미국,564,894409836,102826,공포(호러),15세관람가,일반영화,2019,4,봄
1828,하우 투 루즈 프렌즈,로버트 B. 웨이드,롯데쇼핑㈜롯데엔터테인먼트,2008-10-16,장편,영국,199,647938167,102722,코미디,15세관람가,일반영화,2008,10,가을
1829,원더랜드,딜런 브라운,롯데컬처웍스(주)롯데엔터테인먼트,2019-08-14,장편,미국,404,766608510,102715,애니메이션,전체관람가,일반영화,2019,8,여름
1830,크게 될 놈,강지은,(주)영화사오원,2019-04-18,장편,한국,447,780915420,102223,드라마,15세관람가,일반영화,2019,4,봄
1831,워 호스,스티븐 스필버그,한국소니픽쳐스릴리징브에나비스타영화㈜,2012-02-09,장편,미국,229,734302500,102195,전쟁,12세관람가,일반영화,2012,2,겨울
1832,루시드 드림,김준성,(주)넥스트엔터테인먼트월드(NEW),2017-02-22,장편,한국,461,759481000,102170,SF,15세관람가,일반영화,2017,2,겨울
1833,"그대, 고맙소 : 김호중 생애 첫 팬미팅 무비",기타,씨제이포디플렉스 주식회사,2020-09-29,장편,한국,106,3129974000,102008,공연,전체관람가,일반영화,2020,9,가을
1834,암전,김진원,TCO(주)더콘텐츠온,2019-08-15,장편,한국,423,898461215,101913,미스터리,15세관람가,일반영화,2019,8,여름
1835,몬스터 헌터,폴 W.S. 앤더슨,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-02-10,장편,미국,668,967419750,101793,액션,12세관람가,일반영화,2021,2,겨울
1836,콜드 체이싱,한스 페터 몰란트,(주)제이앤씨미디어그룹,2019-02-20,장편,영국,480,777401607,101694,액션,15세관람가,독립/예술영화,2019,2,겨울
1837,박스트롤,그레이엄 애나블,유니버설픽쳐스인터내셔널 코리아(유),2014-11-06,장편,미국,346,725030100,101665,애니메이션,전체관람가,일반영화,2014,11,가을
1838,죽지않는 인간들의 밤,신정원,TCO(주)더콘텐츠온,2020-09-29,장편,한국,570,840217440,101616,코미디,15세관람가,일반영화,2020,9,가을
1839,일대종사,왕가위,CGV아트하우스,2013-08-22,장편,중국,193,733528000,101461,액션,12세관람가,독립/예술영화,2013,8,여름
1840,R.I.P.D. : 알.아이.피.디.,로베르트 슈벤트케,유니버설픽쳐스인터내셔널 코리아(유),2013-08-22,장편,미국,268,725451071,101460,액션,15세관람가,일반영화,2013,8,여름
1841,라스트 미션,클린트 이스트우드,워너브러더스 코리아(주),2019-03-14,장편,미국,472,835560639,101293,드라마,15세관람가,일반영화,2019,3,봄
1842,바람,이성한,(주)싸이더스,2009-11-26,장편,한국,120,726321610,101197,드라마,청소년관람불가,일반영화,2009,11,가을
1843,게이트,신재호,(주)제이앤씨미디어그룹,2018-02-28,장편,한국,208,820756100,101173,범죄,15세관람가,일반영화,2018,2,겨울
1844,돌연변이,권오광,필라멘트픽쳐스,2015-10-22,장편,한국,399,748936684,100543,드라마,12세관람가,일반영화,2015,10,가을
1845,바닷마을 다이어리,고레에다 히로카즈,주식회사 왓챠,2015-12-17,장편,일본,67,821350384,100225,드라마,12세관람가,독립/예술영화,2015,12,겨울
1846,21 브릿지: 테러 셧다운,브라이언 커크,(주)드림팩트엔터테인먼트,2020-01-01,장편,미국,228,774683700,100092,스릴러,15세관람가,일반영화,2020,1,겨울
1847,극장판 파워레인저 트레인포스 VS 다이노포스 THE MOVIE,와타나베 카츠야,(주)스마일이엔티,2015-11-26,장편,일본,344,731072500,100054,액션,전체관람가,일반영화,2015,11,가을
1848,딥워터 호라이즌,피터 버그,플러스엠 엔터테인먼트,2017-01-25,장편,미국,433,775611543,100021,액션,12세관람가,일반영화,2017,1,겨울
1849,미니특공대X,이영준,(주)삼지애니메이션,2018-03-22,장편,한국,458,744858200,99952,애니메이션,전체관람가,일반영화,2018,3,봄
1850,알파독,닉 카사베츠,(주)싸이더스,2009-01-29,장편,미국,161,648950794,99692,드라마,청소년관람불가,일반영화,2009,1,겨울
1851,타운,벤 애플렉,워너브러더스 코리아(주),2011-01-27,장편,미국,158,763767000,98866,드라마,청소년관람불가,일반영화,2011,1,겨울
1852,엘비스,바즈 루어만,워너브러더스 코리아(주),2022-07-13,장편,미국,665,1070700628,98706,드라마,15세관람가,일반영화,2022,7,여름
1853,라이언,가스 데이비스,(주)이수C&E,2017-02-01,장편,기타,205,736334100,98660,드라마,12세관람가,독립/예술영화,2017,2,겨울
1854,로덴시아: 마법왕국의 전설,데이비드 비스바노,(주)영화사 빅,2013-10-02,장편,기타,221,632768500,98575,애니메이션,전체관람가,독립/예술영화,2013,10,가을
1855,가필드-마법의 샘물,마크 A.Z. 디페,㈜케이디미디어,2009-02-19,장편,미국,95,577233283,98527,애니메이션,전체관람가,일반영화,2009,2,겨울
1856,빌리와 용감한 녀석들 3,척 파워스,롯데쇼핑㈜롯데엔터테인먼트,2015-04-30,장편,미국,343,699788600,98495,애니메이션,전체관람가,독립/예술영화,2015,4,봄
1857,대병소장,장성,(주)싸이더스,2010-03-11,장편,기타,158,718183268,98435,액션,12세관람가,일반영화,2010,3,봄
1858,블랙폰,스콧 데릭슨,유니버설픽쳐스인터내셔널 코리아(유),2022-09-07,장편,미국,495,997038042,98336,공포(호러),15세관람가,일반영화,2022,9,가을
